escenario,c,r,p,G,reduccion_pct,T_s_horas,E_s,version_modelo
Caso base,0.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0.0
Capacitación intensiva,1.0,0.0,0.0,0.109999986984211,10.9999986984211,37.38000054666314,1.1235954891859754,1.0.0
Actualización recurrente,0.0,1.0,0.0,0.14499997932974312,14.499997932974312,35.91000086815079,1.1695906149991364,1.0.0
Certificación priorizada,0.0,0.0,1.0,0.17599998039540085,17.599998039540086,34.60800082339316,1.2135922041359362,1.0.0
Escenario combinado,1.0,1.0,1.0,0.24299997279108443,24.299997279108442,31.794001142774455,1.3210039155309325,1.0.0
