Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
LAS PALMAS-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,LAS PALMAS
LATCOM-CSI-R4-CALL,CALL CENTER,SOPORTE,CSI,R4 REGION CENTRO - CSI,R4,LATCOM
LATCOM-P3-R4-CALL,CALL CENTER,SOPORTE,P3,R4 REGION CENTRO - P3,R4,LATCOM
LATCOM-SOPORTE OPERATIVO-R4-CALL,CALL CENTER,SOPORTE,SOPORTE OPERATIVO,R4 REGIÓN CENTRO - SOPORTE OPERATIVO,R4,LATCOM
LEFCOM-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,LEFCOM
LEFCOM-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,LEFCOM
LEFCOM-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,LEFCOM
LIKE TECHNOLOGY SAS,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,LIKE TECHNOLOGY SAS
LIKE TECHNOLOGY SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,LIKE TECHNOLOGY SAS
LIKE TECHNOLOGY SAS-R4-TAT,COMERCIAL,PREPAGO,COM-TAT,R4 REGION CENTRO-TAT,R4,LIKE TECHNOLOGY SAS
LOS MONTES-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,LOS MONTES
LUZ MILA NAVIA BOLAÑOS-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,LUZ MILA NAVIA BOLAÑOS
MAC CENTER COLOMBIA S.A.S.-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MAC CENTER COLOMBIA S.A.S.
MAC CENTER COLOMBIA S.A.S.-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,MAC CENTER COLOMBIA S.A.S.
MAGANET-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,MAGANET
MAGANET-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,MAGANET
MANICOMIO DEL CELULAR-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MANICOMIO DEL CELULAR
MANRIQUE CENTER COMUNICACIONES-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,MANRIQUE CENTER COMUNICACIONES
MARIA EVITA MORA (MEGA MOVIL)-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,MARIA EVITA MORA (MEGA MOVIL)
MARIA HERLIS BUSTOS ESCARRAGA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,MARIA HERLIS BUSTOS ESCARRAGA
MARIA OTILIA GARCIA MORA-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,MARIA OTILIA GARCIA MORA
MARIA YOHANA AGUDELO BOLIVAR-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,MARIA YOHANA AGUDELO BOLIVAR
MARKET MIX SAS BOGOTA-JAIRO MACHADO-MOVIL MIGRACION-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL MIGRACION,R3,MARKET MIX SAS BOGOTA
MARKET MIX SAS BOGOTA-JAIRO MACHADO-MOVIL PORTABILIDAD-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R3,MARKET MIX SAS BOGOTA
