Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
PLUG CONECTION-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,PLUG CONECTION
PLUG CONECTION-R1-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R1 REGION COSTA-ISLAS,R1,PLUG CONECTION
PLUG CONECTION-R1-TAT,COMERCIAL,PREPAGO,COM-TAT,R1 REGION COSTA-TAT,R1,PLUG CONECTION
PLUG CONECTION-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,PLUG CONECTION
PLUG CONECTION-R2-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R2 REGION NOROCCIDENTE-ISLAS,R2,PLUG CONECTION
PLUG CONECTION-R2-TAT,COMERCIAL,PREPAGO,COM-TAT,R2 REGION NOROCCIDENTE-TAT,R2,PLUG CONECTION
PLUG CONECTION-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,PLUG CONECTION
PLUG CONECTION-R3-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R3 REGION OCCIDENTE-ISLAS,R3,PLUG CONECTION
PLUG CONECTION-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,PLUG CONECTION
PLUG CONECTION-R3-TAT,COMERCIAL,PREPAGO,COM-TAT,R3 REGION OCCIDENTE-TAT,R3,PLUG CONECTION
PLUG CONECTION-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,PLUG CONECTION
PLUG CONECTION-R4-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R4 REGION CENTRO-ISLAS,R4,PLUG CONECTION
PLUG CONECTION-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,PLUG CONECTION
PLUG CONECTION-R4-TAT,COMERCIAL,PREPAGO,COM-TAT,R4 REGION CENTRO-TAT,R4,PLUG CONECTION
PLUG CONECTION-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,PLUG CONECTION
PLUG CONECTION-R5-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R5 REGION ORIENTE-ISLAS,R5,PLUG CONECTION
PLUG CONECTION-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,PLUG CONECTION
PLUG CONECTION-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,PLUG CONECTION
POSGIR SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,POSGIR SAS
PRICESMART-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,PRICESMART
PRICESMART-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,PRICESMART
PRICESMART-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,PRICESMART
PRICESMART-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,PRICESMART
PRICESMART-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,PRICESMART
PROMOSMART SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,PROMOSMART SAS
PUNTO CLARO AL-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,PUNTO CLARO AL
QUICENO Y GARZON-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,QUICENO Y GARZON
QUICENO Y GARZON-R2-TAT,COMERCIAL,PREPAGO,COM-TAT,R2 REGION NOROCCIDENTE-TAT,R2,QUICENO Y GARZON
RECOVERY MOBILE-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,RECOVERY MOBILE
RED CLARO-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,RED CLARO
RED COMUNICA SAS-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,RED COMUNICA SAS
RED DE TECNOLOGÍA - REDITEC-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,RED DE TECNOLOGÍA 
REYCO BOGOTA-JAIRO MACHADO-MOVIL MIGRACION-R4,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R4 REGION CENTRO-JAIRO MACHADO-MOVIL MIGRACION,R4,REYCO BOGOTA
REYCO BOGOTA-JAIRO MACHADO-MOVIL PORTABILIDAD-R4,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R4 REGION CENTRO-JAIRO MACHADO-MOVIL PORTABILIDAD,R4,REYCO BOGOTA
RHANDOM SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,RHANDOM SAS
RHANDOM SAS-CALLE-R4-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R4 REGION CENTRO-CALLE,R4,RHANDOM SAS
RHANDOM SAS-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,RHANDOM SAS
RHANDOM SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,RHANDOM SAS
RIO COMUNICACIONES PUERTO BERRIO-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,RIO COMUNICACIONES PUERTO BERRIO
RIO STAR COMUNICACIONES SAS-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,RIO STAR COMUNICACIONES SAS
ROBER EMIRO ANAYA SIERRA (GSMMOVILRAS2012)-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,ROBER EMIRO ANAYA SIERRA (GSMMOVILRAS2012)
ROMEROS COMUNICACIONES-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,ROMEROS COMUNICACIONES
ROMEROS COMUNICACIONES-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,ROMEROS COMUNICACIONES
RYL TELECOMUNICACIONES-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,RYL TELECOMUNICACIONES
RYL TELECOMUNICACIONES-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,RYL TELECOMUNICACIONES
SAID ANDRES APARICIO LOBO-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SAID ANDRES APARICIO LOBO
SANDRA PATRICIA OSPINA PINEDA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SANDRA PATRICIA OSPINA PINEDA
SED INTERNATIONAL DE COLOMBIA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SED INTERNATIONAL DE COLOMBIA
SER COMUNICACIONES-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,SER COMUNICACIONES
SER COMUNICACIONES-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,SER COMUNICACIONES
SER COMUNICACIONES-R2-TAT,COMERCIAL,PREPAGO,COM-TAT,R2 REGION NOROCCIDENTE-TAT,R2,SER COMUNICACIONES
SERVICIO TECNOLOGIA Y COMUNICAC-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,SERVICIO TECNOLOGIA Y COMUNICAC
SERVITEC-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,SERVITEC
SERVITELCS SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,SERVITELCS SAS
SIERVO MARTINEZ QUIROGA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SIERVO MARTINEZ QUIROGA
SINGULARCOM-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,SINGULARCOM
SINGULARCOM-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,SINGULARCOM
SMART LATINOAMERICA SAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,SMART LATINOAMERICA SAS
SMART LATINOAMERICA SAS-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,SMART LATINOAMERICA SAS
SMART LATINOAMERICA SAS-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,SMART LATINOAMERICA SAS
SMART LATINOAMERICA SAS-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SMART LATINOAMERICA SAS
SMART PHONE SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,SMART PHONE SAS
SMARTMOBILE SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,SMARTMOBILE SAS
SODAGI SAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,SODAGI SAS
SOLUCIONES ENCOMUNICACIONES JJL-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,SOLUCIONES ENCOMUNICACIONES JJL
SOLUCIONES INTELIGENTES PUNTOFACIL-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,SOLUCIONES INTELIGENTES PUNTOFACIL
SOLUCIONES MOVILESRIO SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,SOLUCIONES MOVILESRIO SAS
SOLUCIONES MOVILESRIO SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,SOLUCIONES MOVILESRIO SAS
SOLUCIONES TMC-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,SOLUCIONES TMC
SOLUMOVIL DEL CARIBE SAS-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,SOLUMOVIL DEL CARIBE SAS
SOLUMOVIL DEL CARIBE SAS-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,SOLUMOVIL DEL CARIBE SAS
SOLVENCIA COLOMBIA SAS,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R2 - REGION NOROCCIDENTE-TMK,R2,SOLVENCIA COLOMBIA SAS
SOTECK EMPRENDIENDO JUNTOS-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,SOTECK EMPRENDIENDO JUNTOS
SOTO Y OSORNO SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,SOTO Y OSORNO SAS
SOUL CENTRO DE TECNOLOGIA SAS-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,SOUL CENTRO DE TECNOLOGIA SAS
SOUL CENTRO DE TECNOLOGIA SAS-R1-TAT,COMERCIAL,PREPAGO,COM-TAT,R1 REGION COSTA-TAT,R1,SOUL CENTRO DE TECNOLOGIA SAS
SOUL CENTRO DE TECNOLOGIA SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,SOUL CENTRO DE TECNOLOGIA SAS
SOUL CENTRO DE TECNOLOGIA SAS-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,SOUL CENTRO DE TECNOLOGIA SAS
SOUL CENTRO DE TECNOLOGIA-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,SOUL CENTRO DE TECNOLOGIA SAS
SPC COMERCIAL SAS-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,SPC COMERCIAL SAS
STAR CELL 5 SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,STAR CELL 5 SAS
STAR CELL 5 SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,STAR CELL 5 SAS
STAR CELL 5-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,STAR CELL 5 SAS
STARCELL BARCELONA-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,STAR CELL 5 SAS
STARCELL-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,STAR CELL 5 SAS
SUPERCEL EU-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,SUPERCEL EU
SUPERCEL EU-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,SUPERCEL EU
SUPERMARTEC-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,SUPERMARTEC
SUPERMERCADOS MERCACENTRO-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,SUPERMERCADOS MERCACENTRO
SUPERTIENDAS CAÑAVERAL-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,SUPERTIENDAS CAÑAVERAL
SURTICELL DJ-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,SURTICELL DJ
SURTIFAMILIAR-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,SURTIFAMILIAR
SURTIPLAZA-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,SURTIPLAZA
SURYTEL-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,SURYTEL
TEAM COMUNICACIONES-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,TEAM COMUNICACIONES
TEAM COMUNICACIONES-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,TEAM COMUNICACIONES
TEAM COMUNICACIONES-CALLE-R4-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R4 REGION CENTRO-CALLE,R4,TEAM COMUNICACIONES
TEAM COMUNICACIONES-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R2-TAT,COMERCIAL,PREPAGO,COM-TAT,R2 REGION NOROCCIDENTE-TAT,R2,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R4-TAT,COMERCIAL,PREPAGO,COM-TAT,R4 REGION CENTRO-TAT,R4,TEAM COMUNICACIONES
TEAM COMUNICACIONES-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,TEAM COMUNICACIONES
TECHNO FENIX-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,TECHNO FENIX
TECHNOCELL STORE-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,TECHNOCELL STORE
TECMOVIL GH SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,TECMOVIL GH SAS
TECMOVIL GH SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,TECMOVIL GH SAS
TECNIMOVIL ANGELA-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,TECNIMOVIL ANGELA
TECNOCENTER DS SAS-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,TECNOCENTER DS SAS
TECPHONE-CALLE-R4-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R4 REGION CENTRO-CALLE,R4,TECPHONE
TECPHONE-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,TECPHONE
TECPHONE-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,TECPHONE
TECPHONE-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,TECPHONE
TELECEL LORICA-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,TELECEL LORICA
TELECEL LORICA-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,TELECEL LORICA
TELNORTE SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,TELNORTE SAS
TEYTEL SAS-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,TEYTEL
TEYTEL SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,TEYTEL
TEYTEL-JAIRO MACHADO-MOVIL MIGRACION-R5,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R5 REGION ORIENTE-JAIRO MACHADO-MOVIL MIGRACION,R5,TEYTEL
TEYTEL-JAIRO MACHADO-MOVIL PORTABILIDAD-R5,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R5 REGION ORIENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R5,TEYTEL
TEYTEL-JENNIFER ARIAS-HOGAR-R5,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R5 REGION ORIENTE-JENNIFER ARIAS-HOGAR,R5,TEYTEL
TEYTEL-RUSSI CARDENAS GIANCARLO-T&T-R1,TMK,JEAN CARLO RUSSI,TMK-T&T,R1 REGION COSTA-T&T,R1,TEYTEL
TEYTEL-RUSSI CARDENAS GIANCARLO-T&T-R2,TMK,JEAN CARLO RUSSI,TMK-T&T,R2 REGION NOROCCIDENTE-T&T,R2,TEYTEL
TEYTEL-RUSSI CARDENAS GIANCARLO-T&T-R3,TMK,JEAN CARLO RUSSI,TMK-T&T,R3 REGION OCCIDENTE-T&T,R3,TEYTEL
TEYTEL-RUSSI CARDENAS GIANCARLO-T&T-R4,TMK,JEAN CARLO RUSSI,TMK-T&T,R4 REGION CENTRO-T&T,R4,TEYTEL
TEYTEL-RUSSI CARDENAS GIANCARLO-T&T-R5,TMK,JEAN CARLO RUSSI,TMK-T&T,R5 REGION ORIENTE-T&T,R5,TEYTEL
TIC BARRANQUILLA-JAIRO MACHADO-MOVIL MIGRACION-R1,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R1 REGION COSTA-JAIRO MACHADO-MOVIL MIGRACION,R1,TIC BARRANQUILLA
TIC BARRANQUILLA-JAIRO MACHADO-MOVIL PORTABILIDAD-R1,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R1 REGION COSTA-JAIRO MACHADO-MOVIL PORTABILIDAD,R1,TIC BARRANQUILLA
TIC BARRANQUILLA-JENNIFER ARIAS-HOGAR-R1,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R1 REGION COSTA-JENNIFER ARIAS-HOGAR,R1,TIC BARRANQUILLA
TIENDA BARRANQUILLA MALL PLAZA,CAV,GERENCIA CAV,MANUEL SALVADOR PEREZ CAICEDO-R1,R1 - REGION COSTA-CAV,R1,TIENDA BARRANQUILLA MALL PLAZA
TIENDA BOGOTÁ ANDINO,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ ANDINO
TIENDA BOGOTÁ CLARO TECH PLAZA CLARO,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ CLARO TECH PLAZA CLARO
TIENDA BOGOTÁ COLINA,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ COLINA
TIENDA BOGOTÁ ENSUEÑO,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ ENSUEÑO
TIENDA BOGOTÁ GRAN ESTACIÓN,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ GRAN ESTACIÓN
TIENDA BOGOTÁ GRAN PLAZA BOSA,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ GRAN PLAZA BOSA
TIENDA BOGOTÁ HAYUELOS,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ HAYUELOS
TIENDA BOGOTÁ PORTAL 80,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA BOGOTÁ PORTAL 80
TIENDA CARTAGENA CARIBE PLAZA,CAV,GERENCIA CAV,MANUEL SALVADOR PEREZ CAICEDO-R1,R1 - REGION COSTA-CAV,R1,TIENDA CARTAGENA CARIBE PLAZA
TIENDA CARTAGENA MALL PLAZA,CAV,GERENCIA CAV,MANUEL SALVADOR PEREZ CAICEDO-R1,R1 - REGION COSTA-CAV,R1,TIENDA CARTAGENA MALL PLAZA
TIENDA MANIZALES,CAV,GERENCIA CAV,GERENTE REGIONAL - R2,R2 - REGION NOROCCIDENTE-CAV,R2,TIENDA MANIZALES
TIENDA PASTO,CAV,GERENCIA CAV,TATIANA CORREA PELAEZ-R3,R3 - REGION OCCIDENTE-CAV,R3,TIENDA PASTO
TIENDA PEREIRA ARBOLEDA,CAV,GERENCIA CAV,GERENTE REGIONAL - R2,R2 - REGION NOROCCIDENTE-CAV,R2,TIENDA PEREIRA ARBOLEDA
TIENDA SANTA MARTA,CAV,GERENCIA CAV,MANUEL SALVADOR PEREZ CAICEDO-R1,R1 - REGION COSTA-CAV,R1,TIENDA SANTA MARTA
TIENDA SOACHA VENTURA,CAV,GERENCIA CAV,CONSTANZA ARDILA CRUZ-R4,R4 - REGION CENTRO-CAV,R4,TIENDA SOACHA VENTURA
TTS CC MERCURIO BOGOTA-R4-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R4 REGION CENTRO-ISLAS,R4,TTS CC MERCURIO BOGOTA
TTS CC PLAZA IMPERIAL-R4-ISLAS,COMERCIAL,RETAIL,COM-ISLAS,R4 REGION CENTRO-ISLAS,R4,TTS CC PLAZA IMPERIAL
UNIDATOS DE COLOMBIA SAS-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,UNIDATOS DE COLOMBIA SAS
UNO 27 MANIZALES-JAIRO MACHADO-MOVIL MIGRACION-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL MIGRACION,R3,ABAI UNO 27
UNO 27 MANIZALES-JAIRO MACHADO-MOVIL PORTABILIDAD-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R3,ABAI UNO 27
UNO 27 MANIZALES-JENNIFER ARIAS-HOGAR-R3,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R3 REGION OCCIDENTE-JENNIFER ARIAS-HOGAR,R3,ABAI UNO 27
UNO 27 PEREIRA-JAIRO MACHADO-MOVIL MIGRACION-R2,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R2 REGION NOROCCIDENTE-JAIRO MACHADO-MOVIL MIGRACION,R2,ABAI UNO 27
VECTOR BOGOTA-JENNIFER ARIAS-HOGAR-R4,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R4 REGION CENTRO-JENNIFER ARIAS-HOGAR,R4,VECTOR BOGOTA
VIP COMUNICACIONES-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,VIP COMUNICACIONES
VIRTUAL TECNOLOGY CELL-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,VIRTUAL TECNOLOGY CELL
